city_name,city_id,OBJECTID,CT20,pct_censustract
Monterey Park,50,1545,481711,1
Alhambra,112,1546,481712,0.0003
Monterey Park,50,1546,481712,0.9992
Rosemead,87,1546,481712,0.0005
San Gabriel,49,1546,481712,0
Alhambra,112,1547,481713,0.0003
Monterey Park,50,1547,481713,0.9997
Alhambra,112,1548,481714,0
Monterey Park,50,1548,481714,1
Alhambra,112,1549,481800,0.9975
Monterey Park,50,1549,481800,0.0025
Alhambra,112,1550,481901,0.9998
Los Angeles,141,1550,481901,0.0001
Monterey Park,50,1550,481901,0.0001
Alhambra,112,1551,481902,0.9981
Monterey Park,50,1551,481902,0.0019
Alhambra,112,1552,482001,0
Los Angeles,141,1552,482001,0
Monterey Park,50,1552,482001,0.9992
Unincorporated,31,1552,482001,0.0008
Monterey Park,50,1553,482002,0.9997
Unincorporated,31,1553,482002,0.0003
Alhambra,112,1554,482101,0.0005
Monterey Park,50,1554,482101,0.9996
Monterey Park,50,1555,482102,1
Monterey Park,50,1556,482201,1
Monterey Park,50,1557,482202,0.9997
Rosemead,87,1557,482202,0.0003
Unincorporated,31,1557,482202,0
Alhambra,112,1558,482301,0.006
Monterey Park,50,1558,482301,0.0002
Rosemead,87,1558,482301,0.0013
San Gabriel,49,1558,482301,0.9925
Monterey Park,50,1559,482303,0.0014
Rosemead,87,1559,482303,0.9981
San Gabriel,49,1559,482303,0.0005
Monterey Park,50,1560,482304,0
Rosemead,87,1560,482304,1
Rosemead,87,1561,482401,1
San Gabriel,49,1561,482401,0
Rosemead,87,1562,482403,0.9999
Unincorporated,31,1562,482403,0.0001
Rosemead,87,1563,482404,0.514
Unincorporated,31,1563,482404,0.0059
Unincorporated,31,1563,482404,0.4801
Monterey Park,50,1564,482502,0.0001
Rosemead,87,1564,482502,0.9944
Unincorporated,31,1564,482502,0.0055
Rosemead,87,1565,482503,0.9882
Unincorporated,31,1565,482503,0.0118
Monterey Park,50,1566,482521,0
Rosemead,87,1566,482521,0.0612
Unincorporated,31,1566,482521,0.9388
Montebello,106,1567,482522,0.6604
Monterey Park,50,1567,482522,0.0011
Rosemead,87,1567,482522,0.1818
Unincorporated,31,1567,482522,0
Unincorporated,31,1567,482522,0.1566
Montebello,106,1568,482600,0.0001
Monterey Park,50,1568,482600,0.9998
Unincorporated,31,1568,482600,0.0001
Monterey Park,50,1569,482701,1
